S07LSAT8_Oil60_Water40_DWH10-3_.025mm_ASDHRa_AREF.txt,impervious,0.020825963,0.053648923,0.085939638,0.10270497,0.086813897,0.080688052
S07LSAT8_Oil60_Water40_DWH10-3_0.05mm_ASDHRa_AREF.txt,impervious,0.015715051,0.05191287,0.10740916,0.1552839,0.13588516,0.11823567
S07LSAT8_Oil60_Water40_DWH10-3_0.1_mm_ASDHRa_AREF.txt,impervious,0.011765587,0.03943608,0.1050141,0.20206489,0.18813276,0.14443704
S07LSAT8_Oil60_Water40_DWH10-3_0.5_mm_ASDHRa_AREF.txt,impervious,0.011918691,0.035820823,0.093003117,0.25263634,0.26821828,0.14651445
S07LSAT8_Oil60_Water40_DWH10-3_1.85mm_ASDHRa_AREF.txt,impervious,0.012252219,0.033947811,0.087572172,0.25884438,0.28191039,0.14432171
S07LSAT8_Oil60_Water40_DWH10-3_4_mm_ASDHRa_AREF.txt,impervious,0.010625555,0.035941351,0.10124066,0.31021136,0.29590207,0.14181958
S07LSAT8_Oil60_Water40_DWH10-3_8_mm_ASDHRa_AREF.txt,impervious,0.016256152,0.046141237,0.11689655,0.32740608,0.30827892,0.15532818
S07LSAT8_Oil75_Water25_DWH10-3_8_mm_ASDHRa_AREF.txt,impervious,0.037421148,0.076415248,0.13603348,0.26996076,0.22696935,0.069157384
S07LSAT8_Oil92_Water08_DWH10-3_0.05mm_ASDHRa_AREF.txt,impervious,0.001716017,0.00506103,0.011830122,0.017663708,0.016073531,0.014702345
S07LSAT8_Oil92_Water08_DWH10-3_0.1_mm_ASDHRa_AREF.txt,impervious,0.001149645,0.002191194,0.008668038,0.028087404,0.032442521,0.027101869
S07LSAT8_Oil92_Water08_DWH10-3_0.5_mm_ASDHRa_AREF.txt,impervious,0.001343276,0.002015946,0.003195953,0.024496164,0.084053852,0.045037556
S07LSAT8_Oil92_Water08_DWH10-3_1.85mm_ASDHRa_AREF.txt,impervious,0.000997894,0.001624975,0.002454575,0.006653634,0.10247596,0.024996696
S07LSAT8_Oil92_Water08_DWH10-3_4_mm_ASDHRa_AREF.txt,impervious,0.002832562,0.003937284,0.005262159,0.009434005,0.078372858,0.021915507
S07LSAT8_Oiled_marsh_dry_DWO-3-BAT-09_ASDFRa_AREF.txt,impervious,0.027298396,0.036824521,0.057313543,0.18081822,0.26152566,0.12790148
S07LSAT8_Oiled_marsh_DWO-3-BAT-06_ASDFRa_AREF.txt,impervious,0.029245406,0.035534646,0.051306665,0.13715443,0.23061676,0.12865625
